NODE_KEY,BP_ROLE,EMAIL_ADDRESS,PHONE_NUMBER,FAX_NUMBER,WEB_ADDRESS,BP_ID,COMPANY_NAME,ADDRESS_GUID
660e8400e29b41d4a716446655440001,01,company1@gmail.com,9876543201,0201111111,www.company1.com,BP001,Tech Solutions Pvt Ltd,550e8400e29b41d4a716446655440001
660e8400e29b41d4a716446655440002,02,company2@gmail.com,9876543202,0202222222,www.company2.com,BP002,Global Traders,550e8400e29b41d4a716446655440002
660e8400e29b41d4a716446655440003,01,company3@gmail.com,9876543203,0203333333,www.company3.com,BP003,Smart Electronics,550e8400e29b41d4a716446655440003
660e8400e29b41d4a716446655440004,02,company4@gmail.com,9876543204,0204444444,www.company4.com,BP004,Vision Enterprises,550e8400e29b41d4a716446655440004
660e8400e29b41d4a716446655440005,01,company5@gmail.com,9876543205,0205555555,www.company5.com,BP005,NextGen Retail,550e8400e29b41d4a716446655440005
660e8400e29b41d4a716446655440006,02,company6@gmail.com,9876543206,0206666666,www.company6.com,BP006,Metro Suppliers,550e8400e29b41d4a716446655440006
660e8400e29b41d4a716446655440007,01,company7@gmail.com,9876543207,0207777777,www.company7.com,BP007,Prime Mobiles,550e8400e29b41d4a716446655440007
660e8400e29b41d4a716446655440008,02,company8@gmail.com,9876543208,0208888888,www.company8.com,BP008,Fresh Foods Ltd,550e8400e29b41d4a716446655440008
660e8400e29b41d4a716446655440009,01,company9@gmail.com,9876543209,0209999999,www.company9.com,BP009,BlueSky Logistics,550e8400e29b41d4a716446655440009
660e8400e29b41d4a716446655440010,02,company10@gmail.com,9876543210,0210000000,www.company10.com,BP010,Digital World,550e8400e29b41d4a716446655440010
660e8400e29b41d4a716446655440011,01,company11@gmail.com,9876543211,0211111111,www.company11.com,BP011,Modern Furniture,550e8400e29b41d4a716446655440011
660e8400e29b41d4a716446655440012,02,company12@gmail.com,9876543212,0212222222,www.company12.com,BP012,Classic Textiles,550e8400e29b41d4a716446655440012
660e8400e29b41d4a716446655440013,01,company13@gmail.com,9876543213,0213333333,www.company13.com,BP013,Power Industries,550e8400e29b41d4a716446655440013
660e8400e29b41d4a716446655440014,02,company14@gmail.com,9876543214,0214444444,www.company14.com,BP014,Green Energy Corp,550e8400e29b41d4a716446655440014
660e8400e29b41d4a716446655440015,01,company15@gmail.com,9876543215,0215555555,www.company15.com,BP015,Future Innovations,550e8400e29b41d4a716446655440015
660e8400e29b41d4a716446655440016,02,company16@gmail.com,9876543216,0216666666,www.company16.com,BP016,Sunrise Marketing,550e8400e29b41d4a716446655440016
660e8400e29b41d4a716446655440017,01,company17@gmail.com,9876543217,0217777777,www.company17.com,BP017,City Builders,550e8400e29b41d4a716446655440017
660e8400e29b41d4a716446655440018,02,company18@gmail.com,9876543218,0218888888,www.company18.com,BP018,Royal Automobiles,550e8400e29b41d4a716446655440018
660e8400e29b41d4a716446655440019,01,company19@gmail.com,9876543219,0219999999,www.company19.com,BP019,Star Pharma,550e8400e29b41d4a716446655440019
660e8400e29b41d4a716446655440020,02,company20@gmail.com,9876543220,0220000000,www.company20.com,BP020,Silverline Exports,550e8400e29b41d4a716446655440020
